无	無
药	藥
术	術
术	朮
询	詢
库	庫
宁	寧
庙	廟
毁	毀
毁	譭
毁	燬
桩	樁
壮	壯
脸	臉
称	稱
领	領
边	邊
湿	濕
烧	燒
脚	腳
赵	趙
鲁	魯
护	護
撑	撐
胆	膽
饿	餓
骡	騾
牵	牽
鲜	鮮
泽	澤
邻	鄰
虽	雖
绿	綠
绿	緑
叶	葉
叶	叶
须	須
须	鬚
强	強
饮	飲
吕	呂
宾	賓
错	錯
劲	勁
锨	鍁
变	變
开	開
谁	誰
让	讓
遥	遙
尽	盡
尽	儘
瑶	瑤
窝	窩
饭	飯
烟	煙
饱	飽
饥	飢
饥	饑
盗	盜
坏	壞
锅	鍋
颗	顆
汤	湯
脑	腦
广	廣
闻	聞
规	規
圆	圓
兰	蘭
议	議
装	裝
艺	藝
游	遊
游	游
园	園
悬	懸
纲	綱
阋	鬩
于	於
于	于
墙	墻
墙	牆
御	禦
御	御
岭	嶺
状	狀
脉	脈
冻	凍
莱	萊
乔	喬
岛	島
当	當
当	噹
围	圍
场	場
满	滿
湾	灣
圣	聖
钩	鉤
钩	鈎
与	與
导	導
弹	彈
构	構
职	職
颇	頗
渔	漁
献	獻
奸	姦
奸	奸
谢	謝
卫	衛
么	麼
么	麽
断	斷
层	層
确	確
轮	輪
违	違
红	紅
稣	穌
阵	陣
贡	貢
龙	龍
这	這
拣	揀
灵	靈
欧	歐
获	穫
获	獲
盘	盤
盘	槃
输	輸
驷	駟
备	備
刚	剛
两	兩
晒	曬
干	乾
干	幹
干	干
净	淨
净	凈
树	樹
争	爭
斩	斬
斗	鬥
斗	鬭
斗	斗
华	華
韩	韓
钻	鑽
挂	掛
现	現
历	歷
历	曆
诛	誅
灭	滅
财	財
将	將
虑	慮
暂	暫
纤	纖
纤	縴
数	數
据	據
据	据
条	條
显	顯
挡	擋
敌	敵
粮	糧
养	養
凉	涼
鉴	鑒
鉴	鑑
语	語
溃	潰
蚁	蟻
里	裡
里	裏
里	里
声	聲
锣	鑼
挥	揮
伞	傘
贝	貝
记	記
杰	傑
杰	杰
体	體
谷	穀
谷	谷
兴	興
划	劃
划	划
换	換
码	碼
号	號
飞	飛
吴	吳
厘	釐
厘	厘
谬	謬
医	醫
习	習
随	隨
厌	厭
诲	誨
凤	鳳
缘	緣
锡	錫
寻	尋
补	補
细	細
诺	諾
观	觀
扬	揚
笔	筆
画	畫
萧	蕭
败	敗
余	餘
余	余
战	戰
旧	舊
栈	棧
陈	陳
仓	倉
枪	槍
归	歸
档	檔
转	轉
韦	韋
辞	辭
摄	攝
载	載
户	戶
枢	樞
温	溫
纷	紛
爱	愛
凯	凱
卖	賣
夸	誇
夸	夸
琼	瓊
滚	滾
辅	輔
设	設
绘	繪
图	圖
齐	齊
鸣	鳴
禄	祿
劝	勸
窃	竊
简	簡
诚	誠
罢	罷
讯	訊
爷	爺
骥	驥
枥	櫪
龟	龜
访	訪
聪	聰
涂	塗
涂	涂
续	續
萝	蘿
卜	蔔
卜	卜
芦	蘆
蝉	蟬
卷	捲
卷	卷
谋	謀
麦	麥
势	勢
锐	銳
击	擊
乌	烏
坠	墜
升	昇
升	陞
升	升
阎	閻
坝	壩
项	項
庄	莊
庄	庄
剑	劍
脍	膾
弃	棄
鹬	鷸
脏	臟
脏	髒
泪	淚
钥	鑰
锁	鎖
宝	寶
宝	寳
钢	鋼
颠	顛
贵	貴
扩	擴
宽	寬
残	殘
系	係
系	繫
系	系
丽	麗
沟	溝
异	異
钠	鈉
布	佈
布	布
郑	鄭
税	稅
钉	釘
迟	遲
杀	殺
卧	臥
肿	腫
币	幣
离	離
离	离
剂	劑
节	節
孙	孫
损	損
夹	夾
驴	驢
烂	爛
筑	築
筑	筑
娅	婭
恒	恆
恒	恒
态	態
捡	撿
丢	丟
链	鏈
疗	療
垒	壘
间	間
贷	貸
禀	稟
峡	峽
澜	瀾
鸿	鴻
鹄	鵠
骆	駱
驼	駝
癞	癩
虫	蟲
睁	睜
只	隻
只	只
篮	籃
纽	紐
肃	肅
杆	桿
杆	杆
腾	騰
拟	擬
缩	縮
柜	櫃
销	銷
蓝	藍
顺	順
额	額
岗	崗
响	響
蚂	螞
楼	樓
戏	戲
馆	館
馒	饅
鹰	鷹
庐	廬
遗	遺
厅	廳
调	調
丰	豐
丰	丰
莺	鶯
讲	講
帐	帳
众	眾
众	衆
蚀	蝕
韪	韙
债	債
绝	絕
碍	礙
刘	劉
乱	亂
犊	犢
俭	儉
鹛	鶥
论	論
词	詞
涧	澗
应	應
舰	艦
渗	滲
颈	頸
贾	賈
堑	塹
齿	齒
镜	鏡
滨	濱
壶	壺
汇	匯
汇	彙
驱	驅
坛	壇
坛	罈
径	徑
辽	遼
兹	茲
玛	瑪
缪	繆
逊	遜
毙	斃
冲	沖
冲	衝
笼	籠
馅	餡
饼	餅
鸦	鴉
胡	鬍
胡	衚
胡	胡
锥	錐
营	營
疮	瘡
赖	賴
婴	嬰
宪	憲
骂	罵
贼	賊
秃	禿
羟	羥
鹦	鸚
鹉	鵡
几	幾
几	几
顿	頓
饶	饒
懒	懶
剧	劇
灾	災
仑	崙
仑	侖
挟	挾
摊	攤
罚	罰
鸭	鴨
畲	畬
莲	蓮
属	屬
踪	蹤
盐	鹽
酱	醬
静	靜
横	橫
竖	豎
烫	燙
仪	儀
涡	渦
谦	謙
潜	潛
衔	銜
犹	猶
复	復
复	複
复	覆
猎	獵
顾	顧
缆	纜
鸥	鷗
蜡	蠟
鹭	鷺
吨	噸
负	負
烦	煩
误	誤
颊	頰
侦	偵
分	份
分	分
馁	餒
迈	邁
苍	蒼
蝇	蠅
缝	縫
荚	莢
浆	漿
奖	獎
肠	腸
偿	償
铃	鈴
认	認
请	請
贪	貪
赔	賠
轨	軌
庆	慶
镰	鐮
同	衕
同	同
忆	憶
向	嚮
向	向
烛	燭
缓	緩
鲍	鮑
粪	糞
举	舉
举	擧
邮	郵
选	選
脱	脫
氢	氫
松	鬆
松	松
叽	嘰
订	訂
范	範
范	范
辩	辯
陆	陸
觉	覺
毕	畢
硕	碩
废	廢
担	擔
彻	徹
闸	閘
键	鍵
绩	績
阁	閣
劳	勞
匮	匱
谓	謂
预	預
纹	紋
纯	純
疱	皰
鳌	鰲
缅	緬
谊	誼
韵	韻
恋	戀
惧	懼
阶	階
誉	譽
呒	嘸
虾	蝦
昆	崑
昆	昆
碱	鹼
碱	堿
铅	鉛
垦	墾
荣	榮
志	誌
志	志
鳞	鱗
奋	奮
腊	臘
堕	墮
雾	霧
姜	薑
姜	姜
宫	宮
痹	痺
回	迴
回	回
倾	傾
诈	詐
评	評
闪	閃
胀	脹
浓	濃
缚	縛
摆	擺
递	遞
览	覽
栏	欄
极	極
欢	歡
笃	篤
晋	晉
驰	馳
椭	橢
表	錶
表	表
绪	緒
杂	雜
胶	膠
洁	潔
浅	淺
滩	灘
轴	軸
滤	濾
浑	渾
贴	貼
绵	綿
禅	禪
栅	柵
琐	瑣
录	錄
炼	煉
炼	鍊
坐	座
坐	坐
周	週
周	周
凑	湊
厦	廈
霉	黴
霉	霉
绒	絨
坚	堅
托	託
托	托
呆	獃
呆	呆
阅	閱
驾	駕
择	擇
栖	棲
皱	皺
折	摺
折	折
萤	螢
鸲	鴝
恺	愷
庞	龐
审	審
贺	賀
辐	輻
译	譯
逻	邏
辑	輯
兑	兌
榈	櫚
陕	陝
隐	隱
矿	礦
锤	錘
鹀	鵐
颚	顎
况	況
竞	競
袭	襲
苇	葦
蝾	蠑
辖	轄
贤	賢
锋	鋒
惯	慣
狭	狹
霭	靄
钒	釩
腌	醃
腌	腌
眦	眥
眦	眦
优	優
购	購
绣	繡
钴	鈷
侠	俠
侨	僑
块	塊
诗	詩
娄	婁
炮	砲
炮	炮
讨	討
轭	軛
鳑	鰟
鲏	鮍
并	並
并	併
兽	獸
冈	岡
扑	撲
扑	扑
绍	紹
鹎	鵯
诉	訴
讼	訟
饰	飾
饲	飼
鹃	鵑
鹂	鸝
铺	鋪
铺	舖
盖	蓋
榄	欖
参	參
抛	拋
辫	辮
鸫	鶇
铜	銅
鹧	鷓
鸪	鴣
啸	嘯
涤	滌
厨	廚
晕	暈
啰	囉
谎	謊
哗	嘩
哗	譁
骚	騷
惨	慘
拨	撥
轰	轟
继	繼
赞	贊
赞	讚
壳	殼
荆	荊
勋	勳
勋	勛
丛	叢
谐	諧
瓮	甕
妈	媽
注	註
注	注
衅	釁
寿	壽
雕	鵰
雕	雕
鹪	鷦
贯	貫
彦	彥
占	佔
占	占
侬	儂
帧	幀
拦	攔
页	頁
届	屆
触	觸
弯	彎
谟	謨
阑	闌
䜣	訢
疟	瘧
面	麵
面	面
泻	瀉
抚	撫
拧	擰
携	攜
诃	訶
棱	稜
棱	棱
纸	紙
昼	晝
鸬	鸕
鹚	鶿
杨	楊
释	釋
柠	檸
狲	猻
慑	懾
鹨	鷚
鹟	鶲
鸮	鴞
樱	櫻
迁	遷
诀	訣
袜	襪
泼	潑
泾	涇
淀	澱
涨	漲
炉	爐
炽	熾
矫	矯
狮	獅
亵	褻
鹱	鸌
肤	膚
茎	莖
卤	鹵
卤	滷
捣	搗
裤	褲
胁	脅
娘	孃
娘	娘
纵	縱
缠	纏
浏	瀏
肾	腎
鸠	鳩
浒	滸
虏	虜
蔷	薔
谔	諤
莸	蕕
剥	剝
诵	誦
贱	賤
赎	贖
赶	趕
郁	鬱
郁	郁
邓	鄧
娇	嬌
钾	鉀
铀	鈾
镴	鑞
阔	闊
账	賬
锂	鋰
镭	鐳
闵	閔
闷	悶
阖	闔
闾	閭
弥	彌
弥	瀰
赢	贏
飨	饗
驯	馴
驽	駑
骑	騎
鹤	鶴
鲤	鯉
鸳	鴛
鸯	鴦
鹑	鶉
䴕	鴷
吁	籲
吁	吁
鸱	鴟
鳖	鱉
叹	歎
叹	嘆
厢	廂
呜	嗚
哄	鬨
哄	哄
贬	貶
尘	塵
顷	頃
拥	擁
掷	擲
辙	轍
趋	趨
了	瞭
了	了
窍	竅
窥	窺
谶	讖
跃	躍
较	較
颦	顰
宠	寵
痒	癢
荤	葷
籁	籟
题	題
锦	錦
缄	緘
贞	貞
效	傚
效	效
颌	頜
仅	僅
轩	軒
轾	輊
栗	慄
栗	栗
挠	撓
怀	懷
愤	憤
启	啟
厉	厲
愈	癒
愈	愈
迹	跡
迹	蹟
迹	迹
谈	談
缕	縷
扰	擾
胫	脛
谙	諳
训	訓
钺	鉞
艰	艱
辉	輝
鹳	鸛
绸	綢
纱	紗
侧	側
惩	懲
丧	喪
诊	診
搁	擱
伟	偉
赠	贈
伥	倀
鹩	鷯
瞩	矚
揽	攬
怜	憐
椟	櫝
夺	奪
艳	艷
艳	豔
岁	歲
钛	鈦
锰	錳
贩	販
槛	檻
诿	諉
缤	繽
痨	癆
绑	綁
陉	陘
亘	亙
绶	綬
挤	擠
沪	滬
渎	瀆
蜗	蝸
啧	嘖
赃	贓
狱	獄
亿	億
谏	諫
钦	欽
驭	馭
借	藉
借	借
赈	賑
讹	訛
签	籤
签	簽
俪	儷
雏	雛
铄	鑠
攒	攢
纭	紜
伪	偽
龋	齲
锻	鍛
晓	曉
绕	繞
铳	銃
佛	彿
佛	佛
详	詳
茧	繭
佣	傭
佣	佣
讳	諱
侥	僥
幸	倖
幸	幸
谚	諺
俨	儼
讽	諷
尸	屍
尸	尸
浇	澆
箧	篋
叠	疊
滞	滯
篱	籬
诏	詔
练	練
霁	霽
钳	鉗
克	剋
克	克
蒙	懞
蒙	矇
蒙	濛
蒙	蒙
课	課
轿	轎
珑	瓏
韬	韜
筛	篩
痈	癰
贻	貽
册	冊
砺	礪
阀	閥
冢	塚
冢	冢
顽	頑
冯	馮
凄	淒
凄	悽
凄	凄
䴙	鷿
䴙	鸊
䴘	鷈
䴘	鷉
轼	軾
凶	兇
凶	凶
轧	軋
凿	鑿
锯	鋸
镬	鑊
帅	帥
灶	竈
灶	灶
镳	鑣
雳	靂
讷	訥
删	刪
欲	慾
欲	欲
熏	薰
熏	燻
熏	熏
帜	幟
铭	銘
鹜	鶩
适	適
适	适
翘	翹
唤	喚
沥	瀝
驶	駛
篑	簣
赏	賞
辄	輒
纣	紂
朴	樸
朴	朴
恳	懇
妆	妝
轸	軫
嘱	囑
钧	鈞
润	潤
龌	齷
龊	齪
吓	嚇
赡	贍
辕	轅
扎	紮
扎	扎
尝	嘗
尝	嚐
鹊	鵲
耸	聳
鹈	鵜
鹕	鶘
芜	蕪
剪	翦
剪	剪
刍	芻
讥	譏
垄	壟
聋	聾
聩	聵
叙	敘
辟	闢
辟	辟
噜	嚕
赌	賭
拢	攏
吊	弔
吊	吊
诡	詭
忾	愾
侪	儕
谘	諮
缰	韁
迩	邇
咽	嚥
咽	咽
隽	雋
谣	謠
祷	禱
箫	簫
瘾	癮
呕	嘔
痴	癡
痴	痴
钝	鈍
致	緻
致	致
蔼	藹
侣	侶
咸	鹹
咸	咸
赋	賦
哔	嗶
唠	嘮
飙	飆
啮	嚙
啮	齧
嗳	噯
嘘	噓
哝	噥
嚣	囂
涩	澀
飘	飄
囵	圇
枣	棗
绅	紳
诞	誕
摇	搖
纬	緯
洼	窪
骗	騙
韧	韌
帘	簾
帘	帘
挣	掙
抢	搶
础	礎
闲	閒
闲	閑
凛	凜
秘	祕
秘	秘
颐	頤
闺	閨
挞	撻
鹡	鶺
鸰	鴒
捞	撈
惭	慚
龄	齡
谭	譚
仆	僕
仆	仆
峥	崢
嵘	嶸
励	勵
隶	隸
骛	騖
毡	氈
鲠	鯁
溪	谿
溪	溪
姗	姍
姹	奼
诱	誘
娱	娛
癫	癲
篓	簍
膑	臏
滥	濫
瞒	瞞
缴	繳
寝	寢
赀	貲
焕	煥
舱	艙
畴	疇
坟	墳
荫	蔭
绌	絀
橱	櫥
谨	謹
诫	誡
扣	釦
扣	扣
峦	巒
屡	屢
颓	頹
岂	豈
岳	嶽
岳	岳
崭	嶄
蛊	蠱
够	夠
帼	幗
鲫	鯽
辈	輩
幺	么
麽	麼
麽	麽
荨	蕁
砖	磚
缀	綴
辍	輟
垫	墊
瘅	癉
敛	斂
陇	隴
渐	漸
绞	絞
颤	顫
旷	曠
念	唸
念	念
恻	惻
恼	惱
梁	樑
梁	梁
悯	憫
窦	竇
怅	悵
骇	駭
涛	濤
戆	戇
偬	傯
戚	慼
戚	戚
锹	鍬
赉	賚
钵	缽
扪	捫
浊	濁
缳	繯
缢	縊
擞	擻
抠	摳
窜	竄
蹿	躥
赐	賜
挚	摯
洒	灑
玺	璽
泄	洩
泄	泄
骊	驪
掳	擄
掸	撣
诨	諢
辔	轡
呐	吶
该	該
诬	誣
轶	軼
羁	羈
牍	牘
鸺	鵂
鹠	鶹
鸽	鴿
驳	駮
驳	駁
筝	箏
绦	絛
绦	縧
鹌	鵪
涝	澇
昙	曇
鸻	鴴
䴗	鶪
暧	曖
骤	驟
谜	謎
辆	輛
枭	梟
栉	櫛
骜	驁
颏	頦
槟	檳
颂	頌
钮	鈕
诠	詮
镶	鑲
蹒	蹣
殒	殞
殚	殫
纾	紓
喂	餵
喂	喂
荐	薦
汹	洶
痉	痙
挛	攣
钙	鈣
铝	鋁
镁	鎂
浃	浹
栋	棟
秽	穢
涅	湼
涅	涅
沈	瀋
沈	沈
沦	淪
涟	漣
涣	渙
鲋	鮒
囱	囪
纶	綸
潇	瀟
潍	濰
鳗	鰻
鲡	鱺
薮	藪
岩	巖
岩	岩
灿	燦
烃	烴
狈	狽
采	採
采	采
馐	饈
馔	饌
陨	隕
琅	瑯
琅	琅
瑷	璦
珲	琿
饴	飴
诧	詫
腻	膩
绰	綽
畅	暢
箪	簞
疏	疎
疏	疏
疯	瘋
鹮	䴉
鹫	鷲
苋	莧
皑	皚
驹	駒
朱	硃
朱	朱
绽	綻
怆	愴
缭	繚
馋	饞
悭	慳
绷	繃
砚	硯
窑	窯
绊	絆
砾	礫
谕	諭
鲽	鰈
飒	颯
黩	黷
睑	瞼
筚	篳
葱	蔥
粤	粵
酿	釀
缛	縟
纠	糾
鲣	鰹
贰	貳
纨	紈
绔	絝
骋	騁
纺	紡
缔	締
绚	絢
绎	繹
绥	綏
绯	緋
罂	罌
鸵	鴕
奂	奐
帮	幫
鬓	鬢
厮	廝
聂	聶
斋	齋
惮	憚
搅	攪
蛮	蠻
诌	謅
椎	柱
椎	椎
颖	穎
腘	膕
赁	賃
舆	輿
尧	堯
芸	蕓
芸	芸
诣	詣
牺	犧
苹	蘋
茕	煢
荜	蓽
莅	蒞
蒋	蔣
缥	縹
缈	緲
虱	蝨
虱	虱
蜕	蛻
蟏	蠨
渍	漬
偾	僨
袅	裊
赅	賅
锄	鋤
谆	諄
谑	謔
谴	譴
餍	饜
贿	賄
杠	槓
杠	杠
赒	賙
赣	贛
藓	蘚
闯	闖
嗫	囁
踬	躓
跄	蹌
踌	躊
蹰	躕
蹑	躡
辗	輾
崃	崍
郸	鄲
铎	鐸
烁	爍
荧	熒
铸	鑄
们	們
铆	鉚
铤	鋌
铩	鎩
镂	鏤
铮	錚
锒	鋃
铛	鐺
锕	錒
锱	錙
铢	銖
锲	鍥
镌	鐫
镧	鑭
谍	諜
溅	濺
衮	袞
谀	諛
赘	贅
瘫	癱
痪	瘓
沉	沈
沉	沉
笋	筍
觑	覷
闳	閎
鞑	韃
驮	馱
颔	頷
鸾	鸞
蕴	蘊
涌	湧
涌	涌
辘	轆
馑	饉
饫	飫
鸩	鴆
唇	脣
唇	唇
骁	驍
骈	駢
萦	縈
魉	魎
鲅	鮁
鲲	鯤
鹏	鵬
鳄	鱷
鳏	鰥
麸	麩
胧	朧
龇	齜
龛	龕
箩	籮
镐	鎬
鳃	鰓
屉	屜
幂	冪
龈	齦
吗	嗎
钹	鈸
坜	壢
颍	潁
丘	坵
丘	丘
鹞	鷂
杯	盃
杯	杯
锃	鋥
刹	剎
铧	鏵
偻	僂
侄	姪
俩	倆
僵	殭
僵	僵
兖	兗
枫	楓
屿	嶼
蚕	蠶
飕	颼
鳍	鰭
喽	嘍
刽	劊
饺	餃
脓	膿
蓥	鎣
浔	潯
谯	譙
铉	鉉
袄	襖
钞	鈔
谅	諒
滦	灤
鲨	鯊
诘	詰
蔺	藺
饷	餉
裆	襠
啬	嗇
咏	詠
哒	噠
咝	噝
殇	殤
锢	錮
谛	諦
鲱	鯡
鲮	鯪
匀	勻
厕	廁
烩	燴
鲆	鮃
胪	臚
蝎	蠍
傧	儐
娲	媧
衬	襯
坞	塢
娈	孌
骏	駿
檐	簷
檐	檐
铲	鏟
铲	剷
鲈	鱸
局	侷
局	局
榉	櫸
巩	鞏
岘	峴
岚	嵐
峄	嶧
崂	嶗
鲸	鯨
瓯	甌
邺	鄴
焘	燾
祯	禎
趸	躉
匦	匭
锚	錨
捂	摀
捂	捂
橹	櫓
呓	囈
锏	鐧
绉	縐
绛	絳
䴓	鳾
钰	鈺
镕	鎔
钊	釗
枞	樅
栀	梔
栎	櫟
栾	欒
桦	樺
梿	槤
莳	蒔
彟	彠
歼	殲
殡	殯
殴	毆
锌	鋅
铵	銨
俣	俁
桢	楨
沾	霑
沾	沾
鸨	鴇
泸	瀘
浈	湞
浉	溮
蛎	蠣
涞	淶
渑	澠
渌	淥
溆	漵
鱿	魷
饪	飪
焖	燜
癣	癬
夫	伕
夫	夫
猕	獼
犸	獁
糁	糝
珐	琺
晖	暉
玡	琊
恹	懨
瘆	瘮
瘪	癟
垩	堊
鹲	鸏
钨	鎢
镈	鎛
砀	碭
镓	鎵
硚	礄
钡	鋇
棂	欞
筼	篔
筜	簹
桤	榿
绮	綺
莹	瑩
缉	緝
缎	緞
缙	縉
纫	紉
缟	縞
缨	纓
缬	纈
痫	癇
鲐	鮐
家	傢
家	家
板	闆
板	板
掴	摑
馍	饃
脐	臍
腽	膃
眯	瞇
眯	眯
芗	薌
荬	蕒
玮	瑋
秋	鞦
秋	秋
千	韆
千	千
荥	滎
铨	銓
馏	餾
蓦	驀
蕲	蘄
钗	釵
胨	腖
蛲	蟯
蝈	蟈
铰	鉸
蝼	螻
桨	槳
毂	轂
诂	詁
谄	諂
馈	饋
贮	貯
赚	賺
跷	蹺
跷	蹻
邹	鄒
郓	鄆
郧	鄖
銮	鑾
镏	鎦
阊	閶
钌	釕
铞	銱
矾	礬
锆	鋯
闽	閩
阆	閬
巅	巔
阙	闕
阇	闍
炀	煬
砻	礱
刮	颳
刮	刮
颅	顱
馊	餿
饽	餑
鲛	鮫
驿	驛
髋	髖
佩	珮
佩	佩
鲔	鮪
鲗	鰂
鸢	鳶
鹍	鵾
烨	燁
骅	驊
鳕	鱈
鼹	鼴
腭	齶
龚	龔
㤽	懤
㧑	撝
㶉	鸂
䲠	鰆
鲷	鯛
诋	詆
讫	訖
饬	飭
鲳	鯧
鳢	鱧
札	劄
札	札
昵	暱
昵	昵
廪	廩
颉	頡
阃	閫
仿	彷
仿	仿
伫	佇
烬	燼
肴	餚
肴	殽
笺	箋
镖	鏢
缮	繕
讬	託
傥	儻
㑩	儸
傩	儺
殓	殮
亩	畝
讧	訌
蛰	蟄
碛	磧
镩	鑹
堤	隄
堤	堤
凌	淩
凌	凌
凫	鳧
蘖	櫱
荛	蕘
鹗	鶚
才	纔
才	才
猬	蝟
剀	剴
䌽	綵
铬	鉻
卺	巹
谒	謁
叆	靉
叇	靆
困	睏
困	困
绀	紺
绺	綹
轫	軔
雇	僱
雇	雇
咛	嚀
阈	閾
呛	嗆
阗	闐
诅	詛
恸	慟
哟	喲
哕	噦
哺	餔
哺	哺
唛	嘜
唝	嗊
唢	嗩
啴	嘽
啭	囀
咙	嚨
喧	諠
喧	喧
诟	詬
怼	懟
纥	紇
鹘	鶻
茔	塋
埚	堝
垭	埡
庑	廡
戗	戧
鲵	鯢
玑	璣
谲	譎
嫔	嬪
奁	奩
娆	嬈
妩	嫵
娴	嫻
婵	嬋
婶	嬸
嬷	嬤
轲	軻
孪	孿
谧	謐
谳	讞
宴	讌
宴	宴
伧	傖
碜	磣
螨	蟎
尴	尷
岖	嶇
颢	顥
觋	覡
侩	儈
帏	幃
喾	嚳
弑	弒
骞	騫
弪	弳
剿	勦
剿	剿
忏	懺
懑	懣
怂	慫
怄	慪
讶	訝
惫	憊
惬	愜
愠	慍
戋	戔
绢	絹
铐	銬
镯	鐲
搂	摟
镲	鑔
绋	紼
馀	餘
阄	鬮
恤	卹
恤	恤
抟	摶
抡	掄
徕	徠
谪	謫
挨	捱
挨	挨
挽	輓
挽	挽
躯	軀
阐	闡
掺	摻
橥	櫫
揾	搵
搀	攙
裢	褳
讪	訕
摈	擯
撵	攆
撷	擷
撸	擼
撺	攛
讦	訐
闰	閏
斓	斕
谰	讕
旋	鏇
旋	旋
獭	獺
闱	闈
锟	錕
觐	覲
俊	儁
俊	俊
绂	紱
陧	隉
晔	曄
肇	肈
肇	肇
贽	贄
桠	椏
闩	閂
橼	櫞
桡	橈
椤	欏
魇	魘
呗	唄
梼	檮
梾	棶
椁	槨
榅	榲
辇	輦
谤	謗
氲	氳
蓠	蘺
蔑	衊
蔑	蔑
疴	痾
沣	灃
沤	漚
泞	濘
鳅	鰍
泷	瀧
蓟	薊
浐	滻
吣	唚
炖	燉
疡	瘍
溇	漊
觞	觴
漓	灕
漓	漓
潴	瀦
盏	盞
钎	釺
钎	鐱
缦	縵
硷	礆
硷	鹼
罴	羆
牦	氂
狞	獰
狰	猙
猃	獫
璎	瓔
钜	鉅
铠	鎧
镀	鍍
疖	癤
症	癥
症	症
瘘	瘻
疭	瘲
疬	癧
疠	癘
蔹	蘞
鹇	鷳
睐	睞
眍	瞘
䁖	瞜
砗	硨
硙	磑
礴	礡
脔	臠
饵	餌
秆	稈
狝	獮
桧	檜
穑	穡
颡	顙
阒	闃
靥	靨
箓	籙
镞	鏃
犷	獷
粝	糲
糊	餬
糊	糊
累	纍
累	累
纰	紕
纴	紝
锭	錠
缡	縭
绗	絎
绲	緄
缂	緙
缜	縝
缱	繾
绻	綣
锾	鍰
跹	躚
妪	嫗
挝	撾
鸹	鴰
聍	聹
肮	骯
背	揹
背	背
镣	鐐
臜	臢
诽	誹
腼	靦
骧	驤
诩	詡
䓖	藭
荟	薈
鲢	鰱
苌	萇
苎	苧
镑	鎊
荞	蕎
荠	薺
莴	萵
莼	蒓
莼	蓴
茏	蘢
眬	矓
锷	鍔
蓣	蕷
虮	蟣
鳟	鱒
蚝	蠔
蛱	蛺
蛴	蠐
饯	餞
鲼	鱝
蛳	螄
袯	襏
裣	襝
褴	襤
褛	褸
觃	覎
觇	覘
觊	覬
觎	覦
誊	謄
讣	訃
诮	誚
讴	謳
骘	騭
诓	誆
诙	詼
诤	諍
诳	誑
诶	誒
诒	詒
谗	讒
谥	諡
谩	謾
谮	譖
谵	譫
贲	賁
赂	賂
赊	賒
赍	齎
赑	贔
屃	屭
赓	賡
赕	賧
赝	贗
跻	躋
踊	踴
踯	躑
躏	躪
跶	躂
辊	輥
轱	軲
辒	轀
辌	輬
轳	轤
逦	邐
迳	逕
郏	郟
曲	麴
曲	曲
酝	醞
酦	醱
成	晟
成	成
錾	鏨
钯	鈀
镚	鏰
铗	鋏
铡	鍘
铣	銑
铿	鏗
锵	鏘
锉	銼
铓	鋩
锔	鋦
镊	鑷
镍	鎳
镪	鏹
镫	鐙
阉	閹
阏	閼
鸷	鷙
颧	顴
阂	閡
靓	靚
颁	頒
